im,L,k,qs,MSE,SNR,PSNR
airplane_256,0,0,1,0.0,inf,inf
airplane_256,0,1,1,0.0,inf,inf
airplane_256,0,2,1,0.0,inf,inf
airplane_256,0,3,1,0.0,inf,inf
airplane_256,0,4,1,0.0,inf,inf
airplane_256,8,0,1,1.7757110595703125,65.43784211114261,45.63708061273876
airplane_256,8,1,1,0.865875244140625,134.1979699009622,48.75625037770107
airplane_256,8,2,1,1.1007080078125,105.56723411334147,47.714082348246336
airplane_256,8,3,1,1.7227325439453125,67.45022630446142,45.76862502865503
airplane_256,8,4,1,1.6652679443359375,69.77777981399184,45.91596238710706
airplane_256,16,0,1,1.9504852294921875,59.574252700916084,45.22937695004682
airplane_256,16,1,1,2.1507415771484375,54.02727188881242,44.80492130099587
airplane_256,16,2,1,2.143310546875,54.2145887914341,44.81995259810654
airplane_256,16,3,1,1.9091033935546875,60.865587659353395,45.32250911240978
airplane_256,16,4,1,2.150177001953125,54.0414579104986,44.806061484837265
airplane_256,24,0,1,2.4022216796875,48.371347629452714,44.32467278774068
airplane_256,24,1,1,2.41790771484375,48.057541335352774,44.296406399010415
airplane_256,24,2,1,2.4849090576171875,46.76175153975106,44.17769861761436
airplane_256,24,3,1,2.83709716796875,40.95689822085494,43.60206150630751
airplane_256,24,4,1,2.434600830078125,47.728029381902054,44.26652595114057
airplane_256,32,0,1,2.9681854248046875,39.148059612487984,43.405893327063126
airplane_256,32,1,1,2.990814208984375,38.851861677703745,43.372909256095824
airplane_256,32,2,1,2.826812744140625,41.105906357620185,43.61783320287814
airplane_256,32,3,1,2.7997283935546875,41.50356163786291,43.659644591335045
airplane_256,32,4,1,3.301177978515625,35.199162452737745,42.94411421510769
airplane_256,40,0,1,3.3759765625,34.41928514608042,42.84680937965316
airplane_256,40,1,1,3.414306640625,34.032883446549874,42.79777838128139
airplane_256,40,2,1,3.3520050048828125,34.66543151991333,42.8777570246356
airplane_256,40,3,1,3.24371337890625,35.82273967447549,43.02037888774788
airplane_256,40,4,1,3.1036529541015625,37.439334123234396,43.212072077356886
airplane_256,48,0,1,4.1324005126953125,28.118934646870073,41.968779541132434
airplane_256,48,1,1,3.77423095703125,30.78738457557773,42.36251888384195
airplane_256,48,2,1,4.082183837890625,28.464837588307855,42.02187801942127
airplane_256,48,3,1,3.0159149169921875,38.528507318455254,43.33661275527604
airplane_256,48,4,1,3.6746368408203125,31.621818695213456,42.47865936038461
airplane_256,56,0,1,3.656829833984375,31.7758017809008,42.49975609411747
airplane_256,56,1,1,3.871795654296875,30.011578690165603,42.25167932828959
