,im,L,k,MSE,SNR,PSNR
0,airplane_256,0,0,0.0,inf,inf
1,airplane_256,0,1,0.0,inf,inf
2,airplane_256,0,2,0.0,inf,inf
3,airplane_256,0,3,0.0,inf,inf
4,airplane_256,0,4,0.0,inf,inf
5,airplane_256,8,0,1.1771392822265625,98.71278760775164,47.42252508114838
6,airplane_256,8,1,0.63427734375,183.1985662047729,50.10801162098676
7,airplane_256,8,2,1.7378387451171875,66.86391374208674,45.73070885277035
8,airplane_256,8,3,0.958648681640625,121.21093177983637,48.31420881516681
9,airplane_256,8,4,1.3391571044921875,86.77002837186514,46.862488311959524
10,airplane_256,16,0,1.536346435546875,75.63313668235902,46.265912037129254
11,airplane_256,16,1,1.45916748046875,79.63355920859999,46.48975218618733
12,airplane_256,16,2,1.8851318359375,61.6395616136761,45.37738633053923
13,airplane_256,16,3,1.644287109375,70.66813288789903,45.97102708776681
14,airplane_256,16,4,2.342071533203125,49.61364258257867,44.43480205400157
15,airplane_256,24,0,2.0605010986328125,56.39341810022438,44.99107510446983
16,airplane_256,24,1,2.625640869140625,44.255366877041276,43.938450371405665
17,airplane_256,24,2,2.6660614013671875,43.584405029675544,43.87210213551556
18,airplane_256,24,3,2.93896484375,39.53728817079249,43.448859698469136
19,airplane_256,24,4,2.3321075439453125,49.82561814220379,44.45331787051479
20,airplane_256,32,0,3.589996337890625,32.367358909186734,42.57986355307615
21,airplane_256,32,1,2.9874114990234375,38.896114575831405,43.37785312536846
22,airplane_256,32,2,2.5049896240234375,46.38689870680466,44.142744295623295
23,airplane_256,32,3,3.1880340576171875,36.44838726660955,43.095574085716265
24,airplane_256,32,4,4.0694122314453125,28.554172775438424,42.03548674756626
25,airplane_256,40,0,5.0733795166015625,22.903608841194746,41.077830097271466
26,airplane_256,40,1,3.61627197265625,32.1321794460666,42.548192754080354
27,airplane_256,40,2,3.5720672607421875,32.52981858102768,42.601607329654655
28,airplane_256,40,3,4.274139404296875,27.186455321123844,41.822316779650926
29,airplane_256,40,4,4.019073486328125,28.911812721626156,42.089544137913194
30,airplane_256,48,0,3.6876068115234375,31.510599120291637,42.46335752360764
31,airplane_256,48,1,4.8072662353515625,24.17147173931674,41.31182186036484
32,airplane_256,48,2,5.5475006103515625,20.946135586600324,40.689830021815666
33,airplane_256,48,3,4.320587158203125,26.894191853196492,41.77537590386355
34,airplane_256,48,4,5.0988311767578125,22.78928168495647,41.05609728232912
35,airplane_256,56,0,5.916015625,19.64137813634863,40.41051048510886
36,airplane_256,56,1,5.2818756103515625,21.999514665480294,40.90292191633133
37,airplane_256,56,2,5.25897216796875,22.095325139561066,40.92179488462815
38,airplane_256,56,3,5.58245849609375,20.814968894525656,40.66254857961778
39,airplane_256,56,4,6.5582427978515625,17.71796249892392,39.96292869880213
40,airplane_256,64,0,5.423492431640625,21.425069070488473,40.788013224226624
41,airplane_256,64,1,5.15362548828125,22.54698177339318,41.00967505497128
42,airplane_256,64,2,6.9700164794921875,16.67122313025546,39.69846555948658
43,airplane_256,64,3,6.441650390625,18.038653591055525,40.04083210322542
44,airplane_256,64,4,7.2554168701171875,16.015440881110262,39.52417990380801
45,airplane_256,72,0,7.477142333984375,15.540522670410716,39.39344712964892
46,airplane_256,72,1,8.596755981445312,13.516575345626618,38.78745761385189
47,airplane_256,72,2,7.9297027587890625,14.653600959049879,39.138234525713806
48,airplane_256,72,3,8.309555053710938,13.983745122343112,38.93502591342714
49,airplane_256,72,4,6.9420928955078125,16.738280760599352,39.715899399887974
50,airplane_256,80,0,8.036911010742188,14.458129472363192,39.07991201269363
51,airplane_256,80,1,7.7823028564453125,14.931145972420744,39.21972233047875
52,airplane_256,80,2,8.153411865234375,14.251543019264815,39.01740979836567
53,airplane_256,80,3,8.375091552734375,13.874319966476579,38.900907976211144
54,airplane_256,80,4,9.809310913085938,11.845755627559837,38.21441860843269
55,airplane_256,88,0,8.32421875,13.959111772641952,38.92736876465558
56,airplane_256,88,1,8.630752563476562,13.463333480662984,38.77031694942331
57,airplane_256,88,2,8.529342651367188,13.62340624603071,38.82164799088967
58,airplane_256,88,3,8.337158203125,13.937446923775221,38.92062318265883
59,airplane_256,88,4,7.8032379150390625,14.891087676209882,39.20805512428159
60,airplane_256,96,0,8.668350219726562,13.40493831072244,38.751439114478515
61,airplane_256,96,1,10.362747192382812,11.213117312809127,37.97605457550121
62,airplane_256,96,2,9.319717407226562,12.468049713725303,38.436776170056454
63,airplane_256,96,3,7.9345703125,14.644611538461538,39.1355694785681
64,airplane_256,96,4,9.800735473632812,11.856120417063028,38.2182169332284
65,airplane_256,104,0,10.207015991210938,11.384198873718656,38.04181565692422
66,airplane_256,104,1,8.7520751953125,13.276702651435905,38.70969320529264
67,airplane_256,104,2,11.663314819335938,9.962750877523494,37.46258362490201
68,airplane_256,104,3,9.592239379882812,12.113824035174513,38.31160352571847
69,airplane_256,104,4,8.913375854492188,13.036441169774047,38.630381408597444
70,airplane_256,112,0,10.693801879882812,10.865985853895886,37.839482270424966
71,airplane_256,112,1,10.508316040039062,11.057785044571226,37.91547235050316
72,airplane_256,112,2,9.963973999023438,11.66188309629877,38.146477752928206
73,airplane_256,112,3,10.468109130859375,11.100256837084826,37.932121193224035
74,airplane_256,112,4,10.888137817382812,10.672045293701345,37.761267515243894
75,airplane_256,120,0,11.984283447265625,9.695923870833026,37.344682886393876
76,airplane_256,120,1,10.650482177734375,10.910182094299346,37.85711090897
77,airplane_256,120,2,12.23712158203125,9.495590868509124,37.25401085872997
78,airplane_256,120,3,11.042892456054688,10.52248769184214,37.69997518165444
79,airplane_256,120,4,12.744583129882812,9.117497117556981,37.077547264257056
80,airplane_256,128,0,13.54669189453125,8.57764396325282,36.81247107528823
81,airplane_256,128,1,11.656463623046875,9.968606578192947,37.465135481760974
82,airplane_256,128,2,12.361801147460938,9.399819538032174,37.20998607638234
83,airplane_256,128,3,12.312896728515625,9.437153783809908,37.227201239222936
84,airplane_256,128,4,12.743942260742188,9.11795561951994,37.07776565737882
