im,L,k,qs,MSE,SNR,PSNR
airplane_256,0,0,1.0,0.0,inf,inf
airplane_256,0,1,1.0,0.0,inf,inf
airplane_256,0,2,1.0,0.0,inf,inf
airplane_256,0,3,1.0,0.0,inf,inf
airplane_256,0,4,1.0,0.0,inf,inf
airplane_256,8,0,1.0,1.0404510498046875,111.68108290436594,47.958587081316885
airplane_256,8,1,1.0,1.6809539794921875,69.12663961584198,45.87524537212012
airplane_256,8,2,1.0,1.4899139404296875,77.99020923158854,46.39919177204565
airplane_256,8,3,1.0,1.5287933349609375,76.00680699863261,46.28731580198764
airplane_256,8,4,1.0,1.2550048828125,92.58824530687676,47.14434945350136
airplane_256,16,0,1.0,2.237091064453125,51.941872996384966,44.63396697743775
airplane_256,16,1,1.0,1.101287841796875,105.51165239559953,47.71179516223099
airplane_256,16,2,1.0,1.59869384765625,72.68352231512236,46.09315057224083
airplane_256,16,3,1.0,2.1795654296875,53.312783534024085,44.74710449970865
airplane_256,16,4,1.0,1.5544586181640625,74.7518773374692,46.21501195853908
airplane_256,24,0,1.0,2.3015594482421875,50.48694268571618,44.510581638625084
airplane_256,24,1,1.0,2.6841278076171875,43.29104583672054,43.84277169482217
airplane_256,24,2,1.0,2.945281982421875,39.452487281242554,43.43953480234678
airplane_256,24,3,1.0,2.914886474609375,39.863885253625085,43.48458715807456
airplane_256,24,4,1.0,2.542724609375,45.69849975996159,44.077810345519204
airplane_256,32,0,1.0,1.962005615234375,59.2244482120359,45.20380114877082
airplane_256,32,1,1.0,3.4427947998046875,33.751270902861805,42.76169222557159
airplane_256,32,2,1.0,2.3505859375,49.43392968425426,44.41904227232692
airplane_256,32,3,1.0,2.0044708251953125,57.969763635671605,45.1108062133345
airplane_256,32,4,1.0,2.35528564453125,49.33528984943896,44.41036775806011
airplane_256,40,0,1.0,3.1853790283203125,36.478767179064654,43.09919244411881
airplane_256,40,1,1.0,3.0054779052734375,38.6623038376987,43.35166821261027
airplane_256,40,2,1.0,3.0881805419921875,37.62691279578234,43.233776786281275
airplane_256,40,3,1.0,3.2599639892578125,35.64416672517494,42.998675581475176
airplane_256,40,4,1.0,2.9010162353515625,40.05448109361933,43.50530201557192
airplane_256,48,0,1.0,3.2621002197265625,35.62082466028954,42.99583061366099
airplane_256,48,1,1.0,3.2523040771484375,35.728116804211254,43.008892172872216
airplane_256,48,2,1.0,2.551177978515625,45.547077048219435,44.06339603398461
airplane_256,48,3,1.0,3.2455902099609375,35.80202441902559,43.01786676180993
airplane_256,48,4,1.0,3.008941650390625,38.617797701755634,43.346665949154925
airplane_256,56,0,1.0,3.912353515625,29.700460218408736,42.2064227064483
airplane_256,56,1,1.0,3.2488555908203125,35.76604028799955,43.01349953155952
airplane_256,56,2,1.0,2.491241455078125,46.64288951771955,44.16664538780553
airplane_256,56,3,1.0,3.1810760498046875,36.528111284326656,43.10506308982891
airplane_256,56,4,1.0,3.5334014892578125,32.88579016690778,42.64887373118151
airplane_256,64,0,1.0,3.37310791015625,34.44855695286348,42.85050125805078
airplane_256,64,1,1.0,3.9714813232421875,29.25827682259149,42.14127836342296
airplane_256,64,2,1.0,3.64581298828125,31.87182127132406,42.51285973082279
airplane_256,64,3,1.0,4.075347900390625,28.512584150186086,42.02915671774587
airplane_256,64,4,1.0,3.8296051025390625,30.342214625244544,42.29926367742702
airplane_256,72,0,1.0,3.9950714111328125,29.085512621218314,42.115558142182145
airplane_256,72,1,1.0,3.819915771484375,30.419178563724824,42.310265739726525
airplane_256,72,2,1.0,3.755218505859375,30.94325929898985,42.38445148388423
airplane_256,72,3,1.0,3.3097686767578125,35.107800967225884,42.932827193333544
airplane_256,72,4,1.0,4.045196533203125,28.725106183941516,42.06140734496337
airplane_256,80,0,1.0,3.882568359375,29.92830755203421,42.23961249889595
airplane_256,80,1,1.0,4.56195068359375,25.47127490199751,41.53929774788935
airplane_256,80,2,1.0,4.2886962890625,27.094177838499416,41.807550688033515
airplane_256,80,3,1.0,3.867584228515625,30.044258401521308,42.25640580298385
airplane_256,80,4,1.0,4.30902099609375,26.96638054363376,41.78701750635323
airplane_256,88,0,1.0,4.5403289794921875,25.59257280166692,41.55993039111717
airplane_256,88,1,1.0,4.1826324462890625,27.781236205506488,41.91630658745311
airplane_256,88,2,1.0,4.2152862548828125,27.566028242227233,41.882532885038856
airplane_256,88,3,1.0,4.0485076904296875,28.701612751250362,42.057853922815234
airplane_256,88,4,1.0,4.6173858642578125,25.16547314155417,41.48684191814787
airplane_256,96,0,1.0,4.2540283203125,27.31498034376883,41.842799840660085
airplane_256,96,1,1.0,3.882232666015625,29.930895427354123,42.2399880134087
airplane_256,96,2,1.0,4.5756683349609375,25.394913145986106,41.52625823561203
airplane_256,96,3,1.0,3.80987548828125,30.499343169766586,42.32169578272604
airplane_256,96,4,1.0,4.27227783203125,27.19830135577239,41.82420873168897
airplane_256,104,0,1.0,4.7463836669921875,24.481522797925795,41.36717520007451
airplane_256,104,1,1.0,4.6415252685546875,25.034593851808264,41.46419641764457
airplane_256,104,2,1.0,3.8585662841796875,30.114475531389026,42.26654395712749
airplane_256,104,3,1.0,4.2977447509765625,27.03713381879378,41.79839742298384
airplane_256,104,4,1.0,4.279327392578125,27.153496166874664,41.81704847146074
airplane_256,112,0,1.0,4.79107666015625,24.25314980190326,41.32647240976894
airplane_256,112,1,1.0,3.919403076171875,29.647040044848985,42.19860431721129
airplane_256,112,2,1.0,5.095001220703125,22.806412583182095,41.05936068473539
airplane_256,112,3,1.0,5.2187652587890625,22.265554051406802,40.95512598234589
airplane_256,112,4,1.0,4.249053955078125,27.346957976916393,41.84788115011645
airplane_256,120,0,1.0,4.665252685546875,24.90726821961,41.442051893198666
airplane_256,120,1,1.0,4.768829345703125,24.36629443573417,41.34668579542353
airplane_256,120,2,1.0,5.0956573486328125,22.80347597986519,41.05880144170365
airplane_256,120,3,1.0,5.02740478515625,23.113058310772256,41.11736506695663
airplane_256,120,4,1.0,5.2995147705078125,21.92629042149786,40.88844253934682
airplane_256,128,0,1.0,4.438934326171875,26.17716132137087,41.65801641161793
airplane_256,128,1,1.0,4.54278564453125,25.578732752018702,41.55758116149599
airplane_256,128,2,1.0,4.7002716064453125,24.721699016676567,41.40957406384898
airplane_256,128,3,1.0,4.839141845703125,24.012253340816933,41.283120084630916
airplane_256,128,4,1.0,4.3781280517578125,26.54072667073277,41.717919011785895
airplane_256,136,0,1.0,4.8683319091796875,23.86827811227672,41.257001813239796
airplane_256,136,1,1.0,4.7802276611328125,24.308193707166502,41.33631780235024
airplane_256,136,2,1.0,5.2159881591796875,22.277408691327686,40.95743764035297
airplane_256,136,3,1.0,5.48040771484375,21.202564845029013,40.74267491850663
airplane_256,136,4,1.0,5.6378021240234375,20.61063822301132,40.6197053196319
airplane_256,144,0,1.0,5.55242919921875,20.927542843323696,40.68597331438421
airplane_256,144,1,1.0,5.8057403564453125,20.01444997831715,40.492227513985185
airplane_256,144,2,1.0,5.1907196044921875,22.385855681861607,40.97852791343862
airplane_256,144,3,1.0,4.7633514404296875,24.39431593581723,41.351677358944855
airplane_256,144,4,1.0,5.3719940185546875,21.63045966727168,40.829448404360384
airplane_256,152,0,1.0,4.954193115234375,23.45461657395943,41.181074294202666
airplane_256,152,1,1.0,5.2664031982421875,22.0641480678799,40.91566255040437
airplane_256,152,2,1.0,5.6829071044921875,20.447052505806383,40.58509803949729
airplane_256,152,3,1.0,5.0447998046875,23.03336196675297,41.10236424278056
airplane_256,152,4,1.0,4.3500213623046875,26.712213636028807,41.74588971152752
airplane_256,160,0,1.0,5.6929168701171875,20.411100777022227,40.57745518723845
airplane_256,160,1,1.0,5.30535888671875,21.902137524015508,40.88365593318634
airplane_256,160,2,1.0,4.6405181884765625,25.04002683142565,41.4651388164267
airplane_256,160,3,1.0,5.62652587890625,20.651944459510766,40.62840040142562
airplane_256,160,4,1.0,6.39312744140625,18.1755644660843,40.073669990669494
airplane_256,168,0,1.0,6.7610931396484375,17.186377639106738,39.83063442124997
airplane_256,168,1,1.0,5.3271026611328125,21.81273899580943,40.86589294506608
airplane_256,168,2,1.0,6.0523834228515625,19.198833225345332,40.31153927776836
airplane_256,168,3,1.0,5.9495697021484375,19.53060570232694,40.38594804003256
airplane_256,168,4,1.0,5.830291748046875,19.930169016001297,40.47390073450807
airplane_256,176,0,1.0,5.5190887451171875,21.05396476075411,40.71212983435221
airplane_256,176,1,1.0,5.4710540771484375,21.23881400414446,40.75009353403346
airplane_256,176,2,1.0,5.6015625,20.743979907601116,40.64771174847978
airplane_256,176,3,1.0,5.43133544921875,21.394130603346557,40.78173734424809
airplane_256,176,4,1.0,5.72698974609375,20.28966439662798,40.551539553377644
airplane_256,184,0,1.0,6.4466552734375,18.02464922080627,40.03745913372275
