im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,0.1,0.8802642822265625,132.00433358179203,48.68467280670856
airplane_256,64,1,0.1,0.9385833740234375,123.80221423810376,48.40607503974419
airplane_256,64,2,0.1,0.9201812744140625,126.27805322941713,48.49206969693306
airplane_256,64,3,0.1,0.958099365234375,121.28042681955725,48.31669808433261
airplane_256,64,4,0.1,1.0357818603515625,112.18452880776653,47.97812059918998
arctichare_256,64,0,0.1,0.870697021484375,72.9686656619116,48.73213302058008
arctichare_256,64,1,0.1,1.0682525634765625,59.47432472967761,47.84406417204663
arctichare_256,64,2,0.1,0.8265838623046875,76.86286020195307,48.957934387274946
arctichare_256,64,3,0.1,0.866973876953125,73.28202330247457,48.750743490503254
arctichare_256,64,4,0.1,0.887481689453125,71.58863175269076,48.64920959424162
baboon_256,64,0,0.1,0.9862213134765625,100.47649033775316,48.19105976924221
baboon_256,64,1,0.1,0.9569549560546875,103.5493422626166,48.321888648855136
baboon_256,64,2,0.1,0.897064208984375,110.46261268923286,48.60256831302528
baboon_256,64,3,0.1,0.91229248046875,108.6187362012444,48.529462656428166
baboon_256,64,4,0.1,0.8659210205078125,114.43544379636646,48.756020784600764
barbara_256,64,0,0.1,0.947021484375,114.1348285640629,48.36720529235628
barbara_256,64,1,0.1,0.9472808837890625,114.10357436252637,48.36601587574853
barbara_256,64,2,0.1,0.9257659912109375,116.75535263964662,48.465791382996166
barbara_256,64,3,0.1,0.818328857421875,132.08398284542233,49.00152494528541
barbara_256,64,4,0.1,0.8471527099609375,127.58990615825213,48.85118656422208
boat_256,64,0,0.1,0.9625244140625,110.98570069752695,48.29668606834744
boat_256,64,1,0.1,0.998870849609375,106.94720601264856,48.13571021718904
boat_256,64,2,0.1,0.903656005859375,118.2158319543413,48.570772215302405
boat_256,64,3,0.1,1.0642242431640625,100.37964011757116,47.86047212882803
boat_256,64,4,0.1,0.9809722900390625,108.8985362970337,48.214236210242476
fruits_256,64,0,0.1,1.0184173583984375,111.22913264312362,48.05154567833849
fruits_256,64,1,0.1,0.9870452880859375,114.76441943512607,48.187432812331316
fruits_256,64,2,0.1,0.896820068359375,126.31037533603293,48.60375042859694
fruits_256,64,3,0.1,0.94525146484375,119.83867114353974,48.37533001812375
fruits_256,64,4,0.1,0.86669921875,130.70010563380282,48.75211955780591
lena_256,64,0,0.1,0.8838653564453125,118.71086750107898,48.666942490295966
lena_256,64,1,0.1,0.8504486083984375,123.37538351125863,48.83432286027282
lena_256,64,2,0.1,0.9761505126953125,107.48795585637691,48.23563574150691
lena_256,64,3,0.1,0.8618927001953125,121.73722227139949,48.776271584000874
lena_256,64,4,0.1,0.8978424072265625,116.8628507333322,48.598802465593074
monarch_256,64,0,0.1,0.79754638671875,139.7921672916507,49.11324409063298
monarch_256,64,1,0.1,0.7513275146484375,148.3916610816629,49.37251067274815
monarch_256,64,2,0.1,0.86572265625,128.78343556119572,48.75701577570786
monarch_256,64,3,0.1,0.8511810302734375,130.9835792266461,48.83058424652101
monarch_256,64,4,0.1,1.0255279541015625,108.71545477540211,48.02132857892836
peppers_256,64,0,0.1,0.8578643798828125,129.24359225200547,48.79661725378148
peppers_256,64,1,0.1,1.022430419921875,108.4410948273289,48.03446598488958
peppers_256,64,2,0.1,0.85302734375,129.9764596451059,48.821174081887726
peppers_256,64,3,0.1,0.946868896484375,117.0948528700809,48.36790510138131
peppers_256,64,4,0.1,1.00439453125,110.38836898395722,48.1117602147698
zelda_256,64,0,0.1,0.901519775390625,115.34042517179513,48.58105103188492
zelda_256,64,1,0.1,0.9268798828125,112.18462728829185,48.460569046217486
zelda_256,64,2,0.1,0.9292755126953125,111.89542043644603,48.44935867645002
zelda_256,64,3,0.1,1.010467529296875,102.9045181359669,48.08557998557176
zelda_256,64,4,0.1,0.8591156005859375,121.03339076070547,48.79028755454931
